"filename", "language", "XML", "Java Properties", "Markdown", "HTML", "CSS", "JavaScript", "JSON", "Java", "Python", "XSL", "Shell Script", "Batch", "Ini", "Log", "comment", "blank", "total"
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.debug.core\.launches\Concesionario-v2.launch", "XML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.debug.core\.launches\_index.html.launch", "XML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.debug.ui\dialog_settings.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.debug.ui\launchConfigurationHistory.xml", "XML", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.jdt.launching\.install.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.jdt.launching\libraryInfos.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.jdt.ui\OpenTypeHistory.xml", "XML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.jdt.ui\QualifiedTypeNameHistory.xml", "XML", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.jdt.ui\dialog_settings.xml", "XML", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 70
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.jst.j2ee.ui\dialog_settings.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.ltk.ui.refactoring\dialog_settings.xml", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.m2e.logback.configuration\0.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 1, 46
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.m2e.logback.configuration\logback.2.0.0.20220705-1221.xml", "XML", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.pde.core\.cache\clean-cache.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.tips.ide\dialog_settings.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.tm.terminal.view.ui\.executables\data.properties", "Java Properties", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.ui.editors\dialog_settings.xml", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.ui.workbench.texteditor\dialog_settings.xml", "XML", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
