Date : 2023-05-15 16:02:53
Directory : c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2
Total : 693 files,  90245 codes, 15306 comments, 9257 blanks, all 114808 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| HTML            |        328 |     54,347 |      1,205 |      5,077 |     60,629 |
| XML             |         72 |     18,105 |      3,347 |        523 |     21,975 |
| Java            |        215 |      8,890 |      2,324 |      1,545 |     12,759 |
| CSS             |          7 |      2,508 |        132 |        515 |      3,155 |
| Markdown        |          5 |      1,627 |         11 |        785 |      2,423 |
| JavaScript      |          7 |      1,612 |      7,212 |        308 |      9,132 |
| Batch           |         16 |      1,249 |          0 |        183 |      1,432 |
| Shell Script    |         11 |      1,041 |        497 |        180 |      1,718 |
| Java Properties |         18 |        561 |        511 |        111 |      1,183 |
| XSL             |          1 |        109 |         17 |         15 |        141 |
| JSON            |          9 |        108 |          0 |          3 |        111 |
| Log             |          1 |         45 |          0 |          1 |         46 |
| Python          |          2 |         40 |         50 |         10 |        100 |
| Ini             |          1 |          3 |          0 |          1 |          4 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                  |        693 |     90,245 |     15,306 |      9,257 |    114,808 |
| . (Files)                                                                                                                                                                          |          1 |          2 |          0 |          0 |          2 |
| .metadata                                                                                                                                                                          |         89 |     10,914 |      8,132 |      1,379 |     20,425 |
| .metadata (Files)                                                                                                                                                                  |          1 |          3 |          0 |          1 |          4 |
| .metadata\.plugins                                                                                                                                                                 |         88 |     10,911 |      8,132 |      1,378 |     20,421 |
| .metadata\.plugins\org.eclipse.debug.core                                                                                                                                          |          2 |         28 |          0 |          2 |         30 |
| .metadata\.plugins\org.eclipse.debug.core\.launches                                                                                                                                |          2 |         28 |          0 |          2 |         30 |
| .metadata\.plugins\org.eclipse.debug.ui                                                                                                                                            |          2 |         40 |          0 |          2 |         42 |
| .metadata\.plugins\org.eclipse.jdt.launching                                                                                                                                       |          2 |          8 |          0 |          2 |         10 |
| .metadata\.plugins\org.eclipse.jdt.ui                                                                                                                                              |          3 |        114 |          0 |          3 |        117 |
| .metadata\.plugins\org.eclipse.jst.j2ee.ui                                                                                                                                         |          1 |          6 |          0 |          1 |          7 |
| .metadata\.plugins\org.eclipse.ltk.ui.refactoring                                                                                                                                  |          1 |          7 |          0 |          1 |          8 |
| .metadata\.plugins\org.eclipse.m2e.logback.configuration                                                                                                                           |          2 |         82 |          0 |          6 |         88 |
| .metadata\.plugins\org.eclipse.pde.core                                                                                                                                            |          1 |          0 |          2 |          1 |          3 |
| .metadata\.plugins\org.eclipse.pde.core\.cache                                                                                                                                     |          1 |          0 |          2 |          1 |          3 |
| .metadata\.plugins\org.eclipse.tips.ide                                                                                                                                            |          1 |          3 |          0 |          1 |          4 |
| .metadata\.plugins\org.eclipse.tm.terminal.view.ui                                                                                                                                 |          1 |          5 |          1 |          1 |          7 |
| .metadata\.plugins\org.eclipse.tm.terminal.view.ui\.executables                                                                                                                    |          1 |          5 |          1 |          1 |          7 |
| .metadata\.plugins\org.eclipse.ui.editors                                                                                                                                          |          1 |          5 |          0 |          1 |          6 |
| .metadata\.plugins\org.eclipse.ui.workbench                                                                                                                                        |          2 |          9 |          0 |          1 |         10 |
| .metadata\.plugins\org.eclipse.ui.workbench.texteditor                                                                                                                             |          1 |         28 |          0 |          1 |         29 |
| .metadata\.plugins\org.eclipse.wildwebdeveloper.embedder.node                                                                                                                      |          7 |      1,550 |         11 |        741 |      2,302 |
